Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Emporio Armani Stronger With You Intensely Eau de Parfum,Armani,Perfumes para hombres,Hombres,4.8,150,30,39.95,5000,EDP,Vaporizador,Fougère oriental,"Lavanda, Canela, Castaña, Tófe","Vainilla, Ámbar, Haba Tonka, Gamuza","Pimienta Rosa, Enebro, Violeta",30.0,1.3316666666666668
Emporio Armani Stronger With You Intensely Eau de Parfum,Armani,Perfumes para hombres,Hombres,4.8,150,50,44.94,5000,EDP,Vaporizador,Fougère oriental,"Lavanda, Canela, Castaña, Tófe","Vainilla, Ámbar, Haba Tonka, Gamuza","Pimienta Rosa, Enebro, Violeta",50.0,0.8987999999999999
Emporio Armani Stronger With You Intensely Eau de Parfum,Armani,Perfumes para hombres,Hombres,4.8,150,100,57.74,5000,EDP,Vaporizador,Fougère oriental,"Lavanda, Canela, Castaña, Tófe","Vainilla, Ámbar, Haba Tonka, Gamuza","Pimienta Rosa, Enebro, Violeta",100.0,0.5774
Black Opium ,Yves Saint Laurent,Perfumes de Mujer,Mujer,4.91,389,30,41.94,18000,EDP,Vaporizador,Floral afrutada,"Flores Blancas, Flor de Azahar, Vainilla","Pachulí, Madera de Cedro, Almizcle Blanco, Acorde de Café Negro","Pera, Esencia de Mandarina",30.0,1.398
Black Opium ,Yves Saint Laurent,Perfumes de Mujer,Mujer,4.91,389,50,55.94,18000,EDP,Vaporizador,Floral afrutada,"Flores Blancas, Flor de Azahar, Vainilla","Pachulí, Madera de Cedro, Almizcle Blanco, Acorde de Café Negro","Pera, Esencia de Mandarina",50.0,1.1188
Black Opium ,Yves Saint Laurent,Perfumes de Mujer,Mujer,4.91,389,90,72.89,18000,EDP,Vaporizador,Floral afrutada,"Flores Blancas, Flor de Azahar, Vainilla","Pachulí, Madera de Cedro, Almizcle Blanco, Acorde de Café Negro","Pera, Esencia de Mandarina",90.0,0.8098888888888889
Black Opium ,Yves Saint Laurent,Perfumes de Mujer,Mujer,4.91,389,150,96.94,18000,EDP,Vaporizador,Floral afrutada,"Flores Blancas, Flor de Azahar, Vainilla","Pachulí, Madera de Cedro, Almizcle Blanco, Acorde de Café Negro","Pera, Esencia de Mandarina",150.0,0.6462666666666667
Ck One ,Calvin Klein,Perfumes de Mujer,Mujer,4.84,402,50,17.95,11000,EDT,Vaporizador,Cítrica aromática,"Jazmín, Lirio de los Valles, Violeta, Nuez Moscada, Rosa","Cedro, Almizcle, Ámbar, Sándalo","Mandarina, Limón, Bergamota, Cardamomo, Piña, Notas Verdes, Papaya",50.0,0.359
Ck One ,Calvin Klein,Perfumes de Mujer,Mujer,4.84,402,100,24.95,11000,EDT,Vaporizador,Cítrica aromática,"Jazmín, Lirio de los Valles, Violeta, Nuez Moscada, Rosa","Cedro, Almizcle, Ámbar, Sándalo","Mandarina, Limón, Bergamota, Cardamomo, Piña, Notas Verdes, Papaya",100.0,0.2495
Ck One ,Calvin Klein,Perfumes de Mujer,Mujer,4.84,402,200,34.95,11000,EDT,Vaporizador,Cítrica aromática,"Jazmín, Lirio de los Valles, Violeta, Nuez Moscada, Rosa","Cedro, Almizcle, Ámbar, Sándalo","Mandarina, Limón, Bergamota, Cardamomo, Piña, Notas Verdes, Papaya",200.0,0.17475000000000002
Ck One ,Calvin Klein,Perfumes de Mujer,Mujer,4.84,402,300,45.74,11000,EDT,Vaporizador,Cítrica aromática,"Jazmín, Lirio de los Valles, Violeta, Nuez Moscada, Rosa","Cedro, Almizcle, Ámbar, Sándalo","Mandarina, Limón, Bergamota, Cardamomo, Piña, Notas Verdes, Papaya",300.0,0.15246666666666667
Paradoxe ,Prada,Perfumes de Mujer,Mujer,4.83,41,30,44.94,15000,EDP,Standard,Ámbar Floral,"Jazmín, Flor de Azahar, Neroli","Vainilla, Ámbar, Benjuí","Bergamota, Pera, Naranja",30.0,1.498
Paradoxe ,Prada,Perfumes de Mujer,Mujer,4.83,41,50,64.94,15000,EDP,Standard,Ámbar Floral,"Jazmín, Flor de Azahar, Neroli","Vainilla, Ámbar, Benjuí","Bergamota, Pera, Naranja",50.0,1.2988
Paradoxe ,Prada,Perfumes de Mujer,Mujer,4.83,41,90,80.92,15000,EDP,Standard,Ámbar Floral,"Jazmín, Flor de Azahar, Neroli","Vainilla, Ámbar, Benjuí","Bergamota, Pera, Naranja",90.0,0.8991111111111111
Paradoxe ,Prada,Perfumes de Mujer,Mujer,4.83,41,100,79.94,15000,EDP,Standard,Ámbar Floral,"Jazmín, Flor de Azahar, Neroli","Vainilla, Ámbar, Benjuí","Bergamota, Pera, Naranja",100.0,0.7994
Amor Amor Eau de Toilette,Cacharel,Perfumes de Mujer,Mujer,4.85,170,30,19.94,11000,EDT,Vaporizador,Floral oriental,"Lirio de los Valles, Rosa, Flor de Melati","Vainilla, Cedro, Sándalo, Almizcle Blanco","Mandarina, Naranja Sanguina, Grosella Negra, Pomelo Rosa",30.0,0.6646666666666667
Amor Amor Eau de Toilette,Cacharel,Perfumes de Mujer,Mujer,4.85,170,50,29.95,11000,EDT,Vaporizador,Floral oriental,"Lirio de los Valles, Rosa, Flor de Melati","Vainilla, Cedro, Sándalo, Almizcle Blanco","Mandarina, Naranja Sanguina, Grosella Negra, Pomelo Rosa",50.0,0.599
