Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Likes,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida
Emporio Armani Stronger With You Intensely Eau de Parfum,Armani,Perfumes para hombres,hombres,4.80 , 150 revisiones,"['30', '50', '100']","['39,95', '44,94', '57,74']",5K,EDP - Eau de Parfum,Vaporizador,Fougère oriental,"Lavanda, Canela, Castaña, Tófe","Vainilla, Ámbar, Haba Tonka, Gamuza","Pimienta Rosa, Enebro, Violeta"
Black Opium ,Yves Saint Laurent,Perfumes de Mujer,Mujer,4.91 , 389 revisiones,"['30', '50', '90', '150']","['41,94', '55,94', '72,89', '96,94']",18K,EDP - Eau de Parfum,Vaporizador,Floral afrutada,"Flores Blancas, Flor de Azahar, Vainilla","Pachulí, Madera de Cedro, Almizcle Blanco, Acorde de Café Negro","Pera, Esencia de Mandarina"
Ck One ,Calvin Klein,Perfumes de Mujer,Mujer,4.84 , 402 revisiones,"['50', '100', '200', '300']","['17,95', '24,95', '34,95', '45,74']",11K,EDT - Eau de Toilette,Vaporizador,Cítrica aromática,"Jazmín, Lirio de los Valles, Violeta, Nuez Moscada, Rosa","Cedro, Almizcle, Ámbar, Sándalo","Mandarina, Limón, Bergamota, Cardamomo, Piña, Notas Verdes, Papaya"
Paradoxe ,Prada,Perfumes de Mujer,Mujer,4.83 , 41 revisiones,"['30 ml', '50 ml', '90 ml', 'Refill 100 ml']","['44,94', '64,94', '80,92', '79,94']",15K,EDP - Eau de Parfum,Standard,Ámbar Floral,"Jazmín, Flor de Azahar, Neroli","Vainilla, Ámbar, Benjuí","Bergamota, Pera, Naranja"
Amor Amor Eau de Toilette,Cacharel,Perfumes de Mujer,Mujer,4.85 , 170 revisiones,"['30', '50', '100']","['19,94', '29,95', '31,94']",11K,EDT - Eau de Toilette,Vaporizador,Floral oriental,"Lirio de los Valles, Rosa, Flor de Melati","Vainilla, Cedro, Sándalo, Almizcle Blanco","Mandarina, Naranja Sanguina, Grosella Negra, Pomelo Rosa"
La Vie Est Belle Eau de Parfum,Lancôme,Perfumes de Mujer,Mujer,4.84 , 188 revisiones,"['30', '50', '75', '100', '150']","['37,94', '57,94', '64,94', '70,94', '99,95']",11K,EDP - Eau de Parfum,Vaporizador,Floral Frutal Gourmand,"Jazmín, Flor de Azahar, Iris","Vainilla, Pachulí, Haba Tonka, Praliné","Pera, Grosella Negra"
Acqua di Gio Giorgio Armani ,Armani,Perfumes para hombres,hombres,4.67 , 21 revisiones,"['50 ml', '100 ml', '200 ml']","['42,94', '48,69', '84,94']",2K,EDT - Eau de Toilette,Vaporizador,Aromática Acuática,Caqui,"Cedro, Pachulí, Almizcle","Bergamota, Notas Marinas, Hedionda"
Libre Eau de Parfum Recargable,Yves Saint Laurent,Perfumes de Mujer,Mujer,5.00 , 972 revisiones,"['30 ml', '50 ml', '90 ml', 'Recarga EDP 100ml', '150 ml NO recargable']","['44,94', '62,95', '79,89', '65,97', '99,95']",11K,EDP - Eau de Parfum,Vaporizador,Ámbar Fougère,"Flor de Azahar, Lavanda, Absoluto de jazmín","Vainilla, Almizcle, Ámbar Gris, Madera de Cedro","Mandarina, Lavanda, Grosella Negra, Petitgrain"
Born In Roma Uomo Intense Eau de Parfum,Valentino,Perfumes para hombres,hombres,4.75 , 8 revisiones,"['50', '100']","['49,94', '71,94']",3K,Eau de Parfum Intense,Standard,Ámbar Fougère,none,none,none
Paradoxe Intense EDP,Prada,Eau de parfum (EDP),(EDP),4.90 , 21 revisiones,"['30 ml', '50 ml', '90 ml', 'Recarga edp 100 ml']","['44,94', '62,49', '84,94', '83,67']",4K,Eau de Parfum Intense,Frasco,Floral ambarina,"Jazmín, Neroli, Musgo","Vainilla, Almizcle","Bergamota, Pera, Neroli"
This is Her! Eau de Parfum ,Zadig & Voltaire,Perfumes de Mujer,Mujer,4.90 , 70 revisiones,"['30', '50', '100']","['34,94', '49,94', '69,94']",9K,EDP - Eau de Parfum,Vaporizador,Oriental-Vainilla,"Vainilla, Castaña","Cachemira, Sándalo","Pimienta Rosa, Jazmín"
The Most Wanted Eau de Parfum Intense,Azzaro,Perfumes para hombres,hombres,4.80 , 10 revisiones,"['50', '100']","['43,59', '55,94']",2K,Eau de Parfum Intense,Frasco,none,none,none,none
Ck Be EDT,Calvin Klein,Perfumes de Mujer,Mujer,4.79 , 116 revisiones,"['50', '100', '200']","['13,95', '19,95', '29,95']",4K,EDT - Eau de Toilette,Vaporizador,Cítrico almizclado fresco,"Jazmín, Especias, Lavanda, Fresia, Orquídea, Melocotón, Magnolia, Hierba Verde","Almizcle, Ámbar, Sándalo, Haba Tonka, Opoponax","Mandarina, Bergamota, Menta, Lavanda, Enebro, Notas Verdes"
Stronger With You Absolutely Parfum,Armani,Perfumes para hombres,hombres,4.76 , 21 revisiones,"['50', '100']","['47,94', '58,24']",2K,EDP - Eau de Parfum,Vaporizador,Oriental fougère,"Lavanda, Davana","Vainilla, Cedro, Pachulí, Castaña","Bergamota, Elemí, Ron"
Good Girl ,Carolina Herrera,Perfumes de Mujer,Mujer,4.89 , 142 revisiones,"['30', '50', '80', '100', '150']","['51,95', '74,95', '94,95', '99,94', '119,95']",14K,EDP - Eau de Parfum,Vaporizador,Frutal Amaderado,Tuberosa,"Haba Tonka, Cacao",Jazmín Sambac
L'Eau d'Issey Pour Homme EDT,Issey Miyake,Colonias para hombres,hombres,4.81 , 99 revisiones,"['40', '75', '125', '200']","['27,95', '31,94', '45,49', '64,94']",2K,EDT - Eau de Toilette,Vaporizador,Amaderada Acuática,"Lirio de los Valles, Geranio, Nuez Moscada, Canela, Azafrán, Flor de Loto, Reseda","Cedro, Almizcle, Ámbar, Vetiver, Sándalo, Tabaco","Mandarina, Limón, Bergamota, Yuzu, Salvia, Cilantro, Calone, Estragón, Cedrón, Ciprés"
Boss Bottled EDT,Hugo Boss,Colonias para hombres,hombres,4.75 , 265 revisiones,"['50', '100', '200']","['42,95', '54,95', '74,95']",5K,EDT - Eau de Toilette,Vaporizador,Amaderado afrutado,"Clavel, Canela, Caoba","Vainilla, Cedro, Sándalo, Olivo","Ciruela, Musgo de Roble"
Le Male Le Parfum EDP,Jean Paul Gaultier,Perfumes para hombres,hombres,4.83 , 18 revisiones,"['75', '125', '200']","['63,94', '79,94', '103,94']",4K,EDP - Eau de Parfum,Vaporizador,Oriental Amaderada,"Lirio, Lavanda",Vainilla,Cardamomo
Fantasy ,Britney Spears,Perfumes de Mujer,Mujer,4.67 , 260 revisiones,"['30', '100']","['10,98', '28,89']",8K,EDP - Eau de Parfum,Vaporizador,Floral Frutal,"Jazmín, Orquídea, Chocolate Blanco","Almizcle, Madera, Lirio","Kiwi, Membrillo, Lichi Rojo"
LoveMe Eau de Parfum,Tous,Perfumes de Mujer,Mujer,4.78 , 63 revisiones,"['30', '50', '90']","['22,94', '36,89', '44,37']",6K,EDP - Eau de Parfum,Vaporizador,Floral Frutal,"Peonía, Jazmín, Rosa de Damasco","Cachemira, Cedro, Musgo","Lichi, Pomelo, Pimienta Rosa"
212 Vip Rose EDP,Carolina Herrera,Perfumes de Mujer,Mujer,4.88 , 121 revisiones,"['30', '50', '80', '125']","['31,94', '48,90', '62,94', '69,94']",8K,EDP - Eau de Parfum,Vaporizador,Floral Frutal,Flor de Durazdeno,"Almizcle, Ámbar","Frutal, Champaña"
Cool Water Hombre,Davidoff,Colonias para hombres,hombres,4.80 , 210 revisiones,"['75', '125', '200']","['19,94', '25,69', '29,94']",4K,EDT - Eau de Toilette,Vaporizador,Cítrica Acúatica,"Jazmín, Flor de Azahar, Geranio, Sándalo, Musgo","Almizcle, Ámbar","Menta, Lavanda, Romero, Agua Marina"
Ck In2u For Him EDT,Calvin Klein,Colonias para hombres,hombres,4.68 , 165 revisiones,['100 ml'],"['19,75']",none,EDT - Eau de Toilette,Vaporizador,Fougère Aromático,"Pimienta, Cacao, Shiso","Cedro, Almizcle, Vetiver","Pomelo, Lima, Tangelo"
Ck In2u For Her EDT,Calvin Klein,Perfumes de Mujer,Mujer,4.88 , 251 revisiones,['100 ml'],"['19,49']",none,EDT - Eau de Toilette,Vaporizador,Oriental Floral,"Cactus, Orquídea de Vainilla, Orquídea","Vainilla, Cedro, Ámbar","Bergamota, Toronja, Grosella Negra"
 Le Male Elixir Eau de Parfum ,Jean Paul Gaultier,Perfumes para hombres,hombres,4.88 , 8 revisiones,"['75', '125', '200']","['67,94', '88,94', '115,94']",3K,EDP - Eau de Parfum,Standard,none,Lavanda,Benjuí,Haba Tonka
Burberry for Women,Burberry,Perfumes de Mujer,Mujer,4.86 , 108 revisiones,['100 ml'],"['39,95']",none,EDP - Eau de Parfum,Vaporizador,Floral Frutal,"Jazmín, Sándalo, Cedro, Musgo","Vainilla, Cedro, Almizcle","Pera, Manzana Verde, Grosella Negra, Durazno"
Light Blue ,Dolce & Gabbana,Perfumes de Mujer,Mujer,4.86 , 257 revisiones,"['25', '50', '100', '200']","['31,94', '48,74', '59,95', '81,64']",8K,EDT - Eau de Toilette,Vaporizador,Floral afrutada,"Jazmín, Bambú, Rosa Blanca","Cedro, Almizcle, Ámbar","Limón, Manzana, Jacinto"
